query,candidate,label,category,city
nan restaurant in Tangier,"Indian Spice Tangier - casual restaurant in Tangier, cuisine: nan, rated 3.5/5",high,restaurant,Tangier
coffee shop in Tangier,"Cafe Agadir - casual cafe in Tangier, cuisine: nan, rated 3.5/5",high,cafe,Tangier
spa in Essaouira,"Hammam(hommes) - casual spa in Essaouira, cuisine: nan, rated 3.5/5",high,spa,Essaouira
massage Marrakech,"Hammam Illy - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
luxury barber in Kénitra,"Bar à Boucles Rabat - casual hairdresser in Rabat, cuisine: nan, rated 3.5/5",medium,hairdresser,Kénitra
spa Casablanca,"The Seven Hotel and Spa - casual spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
relax wellness Iqaddar,"Château de Roslane Boutique hôtel & Spa - casual spa in Iqaddar, cuisine: nan, rated 3.5/5",high,spa,Iqaddar
hammam Agadir,"Bar Jour Et Nuit - casual bar in Rabat, cuisine: nan, rated 3.5/5",low,spa,Agadir
find me a restaurant Tetouan open now,"Restaurant - casual restaurant in Berrechid, cuisine: nan, rated 3.5/5",medium,restaurant,Tetouan
budget bar Tangier,"Cafe Wardat Meknes - casual cafe in Tangier, cuisine: nan, rated 3.5/5",low,bar,Tangier
fresh bread Tetouan,"Local bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
where can i find a pharmacy in Agadir,"صيدلية الهعد - casual pharmacy in Agadir, cuisine: nan, rated 3.5/5",high,pharmacy,Agadir
where can i find a pharmacy in Oued,"Pharmacie Route Rabat صيدلية طريق الرباط - casual pharmacy in Oued, cuisine: nan, rated 3.5/5",high,pharmacy,Oued
luxury gym Agadir,"Barbershop Naime - casual hairdresser in Essaouira, cuisine: nan, rated 3.5/5",low,gym,Agadir
where can i find a pharmacy in Rabat,"Pharmacie Bab Marrakech صيدلية باب مراكش - casual pharmacy in Rabat, cuisine: nan, rated 3.5/5",high,pharmacy,Rabat
hammam Marrakech,"Derb Hammam Riad Laârouss - luxury spa in Marrakech, cuisine: nan, rated 3.6/5",high,spa,Marrakech
bakery in Assilah,"Restaurant De France - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",low,bakery,Assilah
best restaurant Tangier good reviews,"Chili’s Tangier - casual restaurant in Tangier, cuisine: burger;grill;mexican;pizza, rated 3.5/5",high,restaurant,Tangier
restaurant Tetouan,"Snack bresca tetouan - casual restaurant in Tetouan, cuisine: nan, rated 3.5/5",high,restaurant,Tetouan
restaurant casual Rabat,"La Ola - casual restaurant in Rabat, cuisine: moroccan;seafood, rated 3.5/5, phone available",high,restaurant,Rabat
fitness center Chefchaouen,"Moving Fitness Club - casual gym in Chefchaouen, cuisine: nan, rated 3.5/5",high,gym,Chefchaouen
fitness center Rabat,"Max Lady Gym - casual gym in Marrakech, cuisine: nan, rated 3.5/5",medium,gym,Rabat
restaurant in Martil,"Indian Spice Tangier - casual restaurant in Tangier, cuisine: nan, rated 3.5/5",medium,restaurant,Martil
pharmacy open now Agadir,"Pharmacy Propharma - casual pharmacy in Agadir, cuisine: nan, rated 3.5/5",high,pharmacy,Agadir
relax wellness Casablanca,"Hammam - casual spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
place for coffee in Kénitra,"Cafe Casablanca - casual cafe in Kénitra, cuisine: sandwich, rated 3.5/5",high,cafe,Kénitra
place to stay Tetouan,"Gym-Jardin - casual gym in Rabat, cuisine: nan, rated 3.5/5",low,hotel,Tetouan
where to buy food in Fes,"Supermarket - casual supermarket in Lamharza, cuisine: nan, rated 3.5/5",medium,supermarket,Fes
relax wellness Rabat,"حمام الراحة - casual spa in Rabat, cuisine: nan, rated 3.5/5",high,spa,Rabat
coffee shop in Rabat,"Pharmacie Route De Marrakech صيدلية طريق مراكش - casual pharmacy in Pachalik, cuisine: nan, rated 3.5/5",low,cafe,Rabat
fast food in Casablanca,"Belhaj Fast Food - budget fast_food in Casablanca, cuisine: nan, rated 3.5/5",high,fast_food,Casablanca
where to buy food in Pachalik,"Green Village Rabat - casual supermarket in Rabat, cuisine: nan, rated 3.5/5, phone available",medium,supermarket,Pachalik
supermarket Fes,"Marjane Fès Saiss - casual supermarket in Fes, cuisine: nan, rated 3.5/5, website available, phone available",high,supermarket,Fes
hammam Casablanca,"Casablanca Le Lido Thalasso & Spa - casual spa in Casablanca, cuisine: nan, rated 3.5/5, phone available",high,spa,Casablanca
supermarket Fes,"Marjane Fès II مرجان فاس 2 - casual supermarket in Fes, cuisine: nan, rated 3.5/5",high,supermarket,Fes
good bar Rabat nightlife,"Local bakery - casual bakery in Assilah, cuisine: nan, rated 3.5/5",low,bar,Rabat
spa in Meknes,"Ariane Coiffeur & Spa - casual spa in Fes, cuisine: nan, rated 3.5/5",medium,spa,Meknes
pharmacy Oued,"Pharmacie Route Rabat صيدلية طريق الرباط - casual pharmacy in Oued, cuisine: nan, rated 3.5/5",high,pharmacy,Oued
where to work out in Marrakech,"O2 Fitness Sport Club - casual gym in Marrakech, cuisine: nan, rated 3.5/5",high,gym,Marrakech
pharmacy open now Dar,"Pharmacy - casual pharmacy in Dar, cuisine: nan, rated 3.5/5",high,pharmacy,Dar
nan restaurant in Oujda,"Restaurant El Kabados - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",high,restaurant,Oujda
accommodation Tangier,"Hotel Marrakech - casual hotel in Tangier, cuisine: nan, rated 3.5/5",high,hotel,Tangier
budget bakery Meknes,"Bakery Shop - casual bakery in Meknes, cuisine: nan, rated 3.5/5",high,bakery,Meknes
good bar Tangier nightlife,"Bar Jour Et Nuit - casual bar in Rabat, cuisine: nan, rated 3.5/5",medium,bar,Tangier
i want to eat in Tetouan,"MEKNES's Bakery - casual restaurant in Tetouan, cuisine: nan, rated 3.5/5",high,restaurant,Tetouan
casual gym Marrakech,"My CrossFit Fitness Club - casual gym in Marrakech, cuisine: nan, rated 3.5/5",high,gym,Marrakech
bakery Tetouan morning,"AL Barakate Bakery & Catering - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
cafe Ksar morning,"Cafe - casual cafe in Fes, cuisine: nan, rated 3.5/5",medium,cafe,Ksar
hammam Casablanca,"Local bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",low,spa,Casablanca
pharmacy Rabat,"Pharmacie de Rabat - casual pharmacy in Rabat, cuisine: nan, rated 3.5/5, phone available",high,pharmacy,Rabat
restaurant cheap Fes,"Goût de Meknès - casual restaurant in Meknes, cuisine: nan, rated 3.5/5",medium,restaurant,Fes
spa in Fes,"Palais Sheherazade & spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
spa in Marrakech,"Hammam - casual spa in Kénitra, cuisine: nan, rated 3.5/5",medium,spa,Marrakech
pharmacy open now Agadir,"Pharmacie Marjane Agadir صيدلية مرجان أكادير - casual pharmacy in Agadir, cuisine: nan, rated 3.5/5",high,pharmacy,Agadir
massage Marrakech,"ô Bar - casual bar in Agadir, cuisine: nan, rated 3.5/5",low,spa,Marrakech
cafe Majjate morning,"Aire de service Meknes - casual cafe in Majjate, cuisine: nan, rated 3.5/5",high,cafe,Majjate
cozy cafe in Chefchaouen,"Cafe Casablanca - casual cafe in Kénitra, cuisine: sandwich, rated 3.5/5",medium,cafe,Chefchaouen
fast food near me Casablanca,"Fast Food alamas - budget fast_food in Tetouan, cuisine: nan, rated 3.5/5",medium,fast_food,Casablanca
burger place Marrakech,"Café Fast food - budget fast_food in Bab, cuisine: nan, rated 3.5/5",medium,fast_food,Marrakech
cafe near me Oujda,"Café Blanche - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
supermarket Lamharza,"Restaurant De France - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",low,supermarket,Lamharza
massage Ifrane,"Hammam - casual spa in Ifrane, cuisine: nan, rated 3.5/5",high,spa,Ifrane
cheap spa Rabat,"Millenium Fitness & Spa - casual spa in Rabat, cuisine: nan, rated 3.5/5, phone available",high,spa,Rabat
coffee shop in Bni,"Café - casual cafe in Bni, cuisine: nan, rated 3.5/5",high,cafe,Bni
hammam Agadir,"Borjs Hotel Suites & SPA - casual spa in Agadir, cuisine: nan, rated 3.5/5",high,spa,Agadir
fast food near me Rabat,"American Fast Food - budget fast_food in Tangier, cuisine: american, rated 3.5/5",medium,fast_food,Rabat
i want to eat in Rabat,"La Ola - casual restaurant in Rabat, cuisine: moroccan;seafood, rated 3.5/5, phone available",high,restaurant,Rabat
casual cafe Oujda,"cafe Le Consul - casual cafe in Oujda, cuisine: nan, rated 3.5/5, phone available",high,cafe,Oujda
fast food in Fes,"Fast Food alamas - budget fast_food in Tetouan, cuisine: nan, rated 3.5/5",medium,fast_food,Fes
good bar Fes nightlife,"Bar La Noblesse - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
relax wellness Rabat,"STORY Rabat Boutique Hôtel & Spa - casual spa in Rabat, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Rabat
massage Casablanca,"Art palace et spa - luxury spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
place for drinks in Rabat,"Restaurant - casual restaurant in Oued, cuisine: nan, rated 3.5/5",low,bar,Rabat
fast food near me Casablanca,"Alba Fast Food - budget fast_food in Casablanca, cuisine: nan, rated 3.5/5",high,fast_food,Casablanca
massage Méchouar,"Rue Hammam El Anf - casual spa in Méchouar, cuisine: nan, rated 3.6/5",high,spa,Méchouar
massage Tangier,"Rue Hammam Alanf - casual spa in Tangier, cuisine: nan, rated 3.6/5",high,spa,Tangier
luxury spa Fes,"Hammam Sidi Azouz - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
bar Ifrane,"Buvette - casual bar in Agadir, cuisine: nan, rated 3.5/5",medium,bar,Ifrane
hammam Casablanca,"Bain Acharaf حمام الشرف - casual spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
casual barber in Laattaouia,"The Barbershop - casual hairdresser in Laattaouia, cuisine: nan, rated 3.5/5",high,hairdresser,Laattaouia
luxury bar Fes,"Pharmacie Meknès صيدلية مكناس - casual pharmacy in Meknes, cuisine: nan, rated 3.5/5",low,bar,Fes
gym Fes,"Stars Fitness - casual gym in Fes, cuisine: nan, rated 3.5/5",high,gym,Fes
where to sleep in Méchouar,"Hotel Agadir - casual hotel in Méchouar, cuisine: nan, rated 3.5/5",high,hotel,Méchouar
cafe Oujda morning,"Times Square Café - casual cafe in Oujda, cuisine: nan, rated 3.5/5, phone available",high,cafe,Oujda
pharmacy Pachalik,"Pharmacie Route Marrakech صيدلية طريق مراكش - casual pharmacy in Pachalik, cuisine: nan, rated 3.5/5",high,pharmacy,Pachalik
luxury bar Fes,"Bonsai Sushi Bar - casual bar in Ifrane, cuisine: sushi;asian;japanese, rated 3.5/5",medium,bar,Fes
pharmacy open now Agadir,"Grande Pharmacie d'Agadir الصيدلية الكبرى لأكادير - luxury pharmacy in Agadir, cuisine: nan, rated 3.5/5",high,pharmacy,Agadir
relax wellness Fes,"Labela spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
coffee shop in Oujda,"Café Istanbul - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
pharmacy Dar,"Pharmacy - casual pharmacy in Dar, cuisine: nan, rated 3.5/5",high,pharmacy,Dar
where to eat in Oujda,"Restaurant Abderrahman Karan مطعم عبد الرحمن كران - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",high,restaurant,Oujda
gym Agadir,"ANNEXES GYM - casual gym in Agadir, cuisine: nan, rated 3.5/5",high,gym,Agadir
barber in Laattaouia,"The Barbershop - casual hairdresser in Laattaouia, cuisine: nan, rated 3.5/5",high,hairdresser,Laattaouia
burger place Casablanca,"LIONZ KEBAB Casablanca - casual fast_food in Casablanca, cuisine: burger;fries;fried_chicken;sandwich;kebab;tacos, rated 3.5/5, website available, phone available",high,fast_food,Casablanca
luxury barber in Marrakech,"Dar Meknes Tresor - casual hotel in Meknes, cuisine: nan, rated 3.5/5",low,hairdresser,Marrakech
good gym Marrakech,"The Barbershop - casual hairdresser in Laattaouia, cuisine: nan, rated 3.5/5",low,gym,Marrakech
hammam Casablanca,"SPA ONLY COIFFURE - casual spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
pharmacy open now Pachalik,"Pharmacie Route De Marrakech صيدلية طريق مراكش - casual pharmacy in Pachalik, cuisine: nan, rated 3.5/5",high,pharmacy,Pachalik
cafe Chefchaouen morning,"Salle Tsouki Fitness & Musculation - casual gym in Essaouira, cuisine: nan, rated 3.5/5, phone available",low,cafe,Chefchaouen
bakery Rabat,"Boulangerie Agadir - casual bakery in Rabat, cuisine: nan, rated 3.5/5",high,bakery,Rabat
good bar Fes nightlife,"Bar voyageur - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
casual bakery Tetouan,"Local bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
bakery Tetouan morning,"Venezia iCe & Bakery - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
cozy cafe in Casablanca,"Millenium Fitness & Spa - casual gym in Rabat, cuisine: nan, rated 3.5/5, phone available",low,cafe,Casablanca
massage Rabat,"Agadir Beach Club - casual bar in Agadir, cuisine: nan, rated 3.5/5",low,spa,Rabat
spa Oujda,"Hammam - casual spa in Oujda, cuisine: nan, rated 3.5/5",high,spa,Oujda
place for coffee in Bab,"Sky Bar (Hôtel Sahrai) - casual bar in Fes, cuisine: nan, rated 3.5/5, phone available",low,cafe,Bab
good restaurant in Souk,"American Fast Food - budget fast_food in Tangier, cuisine: american, rated 3.5/5",low,restaurant,Souk
fitness center Meknes,"Hammam(femmes) - casual spa in Essaouira, cuisine: nan, rated 3.5/5",low,gym,Meknes
fast food near me Bab,"Café Fast food - budget fast_food in Bab, cuisine: nan, rated 3.5/5",high,fast_food,Bab
where to sleep in Chefchaouen,"Ibis Meknes - casual hotel in Meknes, cuisine: nan, rated 3.5/5",medium,hotel,Chefchaouen
massage Rabat,"حمام السعادة - casual spa in Rabat, cuisine: nan, rated 3.5/5",high,spa,Rabat
pharmacy Tetouan,"صيدلية - casual pharmacy in Tetouan, cuisine: nan, rated 3.5/5",high,pharmacy,Tetouan
best restaurant Tangier good reviews,"Fitness Park - casual gym in Rabat, cuisine: nan, rated 3.5/5, website available",low,restaurant,Tangier
where to eat in Fes,"Restaurant - casual restaurant in Fes, cuisine: nan, rated 3.5/5",high,restaurant,Fes
restaurant casual Guercif,"Restaurant Agadir - casual restaurant in Guercif, cuisine: nan, rated 3.5/5",high,restaurant,Guercif
burger place Casablanca,"Aire de service Meknes - casual restaurant in Majjate, cuisine: nan, rated 3.5/5",low,fast_food,Casablanca
grocery Fes,"Marjane Fès Saiss - casual supermarket in Fes, cuisine: nan, rated 3.5/5, website available, phone available",high,supermarket,Fes
spa in Marrakech,"Hammam Nilo - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
quick bite Tangier,"Riad Dar Mystere - luxury hotel in Fes, cuisine: nan, rated 3.5/5",low,fast_food,Tangier
fresh bread Tangier,"Barbershop Mido - casual hairdresser in Kénitra, cuisine: nan, rated 3.5/5",low,bakery,Tangier
good bar Fes nightlife,"Café  Bar Dalila - casual bar in Fes, cuisine: nan, rated 3.5/5",high,bar,Fes
where can i find a pharmacy in M,"Pharmacie tetouan shore - casual pharmacy in M, cuisine: nan, rated 3.5/5",high,pharmacy,M
cafe Oujda morning,"Café Blanche - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
restaurant good Guercif,"Aire de service Meknes - casual restaurant in Majjate, cuisine: nan, rated 3.5/5",medium,restaurant,Guercif
find me a restaurant Meknes open now,"Bar Marrakech - casual bar in Pachalik, cuisine: nan, rated 3.5/5",low,restaurant,Meknes
fitness center Marrakech,"Paradise fitness gym - casual gym in Marrakech, cuisine: nan, rated 3.5/5",high,gym,Marrakech
pharmacy Beni,"Pharmacie Rabat - casual pharmacy in Beni, cuisine: nan, rated 3.5/5",high,pharmacy,Beni
relax wellness Fes,"Riad Authentic Palace & Spa - luxury spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
where to work out in Meknes,"Unique Fitness Club - casual gym in Casablanca, cuisine: nan, rated 3.5/5",medium,gym,Meknes
haircut Casablanca,"Fresh Fade Barbershop - casual hairdresser in Casablanca, cuisine: nan, rated 3.5/5, phone available",high,hairdresser,Casablanca
pharmacy open now Dar,"235th Barber Street Marrakech - casual hairdresser in Marrakech, cuisine: nan, rated 3.5/5, phone available",low,pharmacy,Dar
place to stay Tangier,"Maison Maggie Tangier - casual hotel in Tangier, cuisine: nan, rated 3.5/5",high,hotel,Tangier
restaurant casual Oujda,"Restaurant Universitaire - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",high,restaurant,Oujda
fast food in Fes,"Pizzeria Fast Ford - budget fast_food in Fes, cuisine: nan, rated 3.5/5",high,fast_food,Fes
gym Casablanca,"Ronnie Gym - casual gym in Casablanca, cuisine: nan, rated 3.5/5",high,gym,Casablanca
restaurant Fes,"Restaurant Marrakech - casual restaurant in Fes, cuisine: nan, rated 3.5/5",high,restaurant,Fes
find me a restaurant Issaguen open now,"Restaurant - casual restaurant in Issaguen, cuisine: nan, rated 3.5/5",high,restaurant,Issaguen
where to work out in Aït,"Millenium Fitness & Spa - casual gym in Rabat, cuisine: nan, rated 3.5/5, phone available",medium,gym,Aït
casual spa Tasoultante,"Spa - casual spa in Tasoultante, cuisine: nan, rated 3.5/5",high,spa,Tasoultante
best restaurant Meknes good reviews,"Goût de Meknès - casual restaurant in Meknes, cuisine: nan, rated 3.5/5",high,restaurant,Meknes
where can i find a pharmacy in Tetouan,"Le Rital Tétouan - casual restaurant in Tetouan, cuisine: nan, rated 3.5/5, website available",low,pharmacy,Tetouan
find me a restaurant Oujda open now,"Restaurant Nacional - casual restaurant in Oujda, cuisine: nan, rated 3.5/5",high,restaurant,Oujda
best restaurant Issaguen good reviews,"Pizzeria Fast Ford - budget fast_food in Fes, cuisine: nan, rated 3.5/5",low,restaurant,Issaguen
massage Tasoultante,"Hammam - casual spa in Ifrane, cuisine: nan, rated 3.5/5",medium,spa,Tasoultante
relax wellness Marrakech,"Hammam de la Rose - casual spa in Marrakech, cuisine: nan, rated 3.5/5, website available",high,spa,Marrakech
fast food in Marrakech,"Fast & Good - budget fast_food in Tangier, cuisine: nan, rated 3.5/5",medium,fast_food,Marrakech
relax wellness Marrakech,"Assal Hammam Salon & Spa - casual spa in Marrakech, cuisine: nan, rated 3.5/5, website available, phone available",high,spa,Marrakech
where to sleep in Tangier,"My CrossFit Fitness Club - casual gym in Marrakech, cuisine: nan, rated 3.5/5",low,hotel,Tangier
where can i find a pharmacy in Rabat,"Chili’s Tangier - casual restaurant in Tangier, cuisine: burger;grill;mexican;pizza, rated 3.5/5",low,pharmacy,Rabat
cafe near me Meknes,"Café - casual cafe in Tetouan, cuisine: nan, rated 3.5/5",medium,cafe,Meknes
where to sleep in Fes,"Riad Mahdi Meknes - luxury hotel in Meknes, cuisine: nan, rated 3.5/5",medium,hotel,Fes
training club Rabat,"Local bakery - casual bakery in Assilah, cuisine: nan, rated 3.5/5",low,gym,Rabat
place for coffee in Chefchaouen,"café - casual cafe in Chefchaouen, cuisine: nan, rated 3.5/5",high,cafe,Chefchaouen
bakery Saâda morning,"Agadir مخبزة أكادير - casual bakery in Meknes, cuisine: nan, rated 3.5/5",medium,bakery,Saâda
bar in Tangier,"Hotel - casual hotel in Chefchaouen, cuisine: nan, rated 3.5/5",low,bar,Tangier
hammam Rabat,"Hammam Puzr - casual spa in Rabat, cuisine: nan, rated 3.5/5",high,spa,Rabat
where to work out in Fes,"Café Venise - casual cafe in Oujda, cuisine: nan, rated 3.5/5",low,gym,Fes
fresh bread Meknes,"Big Boy - casual bakery in Meknes, cuisine: burger, rated 3.5/5",high,bakery,Meknes
casual bar Rabat,"Bar Lounge Le Zebrano - casual bar in Rabat, cuisine: nan, rated 3.5/5",high,bar,Rabat
massage Fes,"YUBA_CYN.SPA - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
pharmacy Rabat,"Pharmacie Riad Fès صيدلية رياض فاس - luxury pharmacy in Témara, cuisine: nan, rated 3.5/5",medium,pharmacy,Rabat
good bar Agadir nightlife,"Strandbar - casual bar in Agadir, cuisine: nan, rated 3.5/5",high,bar,Agadir
pharmacy open now Casablanca,"Pharmacie Route de Rabat - casual pharmacy in Casablanca, cuisine: nan, rated 3.5/5",high,pharmacy,Casablanca
bakery Tetouan morning,"La Ideal - casual bakery in Tetouan, cuisine: nan, rated 3.5/5",high,bakery,Tetouan
place for coffee in Oujda,"Café Beni Mimoun - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
where to buy food in Tangier,"Bar Jour Et Nuit - casual bar in Rabat, cuisine: nan, rated 3.5/5",low,supermarket,Tangier
best restaurant Tangier good reviews,"Bar à Boucles Rabat - casual bar in Rabat, cuisine: nan, rated 3.5/5",low,restaurant,Tangier
where can i find a pharmacy in Beni,"Pharmacie Rabat - casual pharmacy in Beni, cuisine: nan, rated 3.5/5",high,pharmacy,Beni
coffee shop in Oujda,"Café Venise - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
place for coffee in Oujda,"Café Karam - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
pharmacy open now Ouled,"Pharmacie tetouan shore - casual pharmacy in M, cuisine: nan, rated 3.5/5",medium,pharmacy,Ouled
place for coffee in Oujda,"Café Qobros - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
casual cafe Martil,"Café Marrakech - casual cafe in Martil, cuisine: nan, rated 3.5/5",high,cafe,Martil
grocery Fes,"Marjane Fès II مرجان فاس 2 - casual supermarket in Fes, cuisine: nan, rated 3.5/5",high,supermarket,Fes
cheap spa Iqaddar,"Pharmacie Route de Rabat - casual pharmacy in Casablanca, cuisine: nan, rated 3.5/5",low,spa,Iqaddar
relax wellness Fes,"Rue El Hammam - casual spa in Fes, cuisine: nan, rated 3.6/5",high,spa,Fes
cafe near me Tangier,"Pharmacy - casual pharmacy in Casablanca, cuisine: nan, rated 3.5/5",low,cafe,Tangier
haircut Rabat,"Bar à Boucles Rabat - casual hairdresser in Rabat, cuisine: nan, rated 3.5/5",high,hairdresser,Rabat
where can i find a pharmacy in Meknes,"Pharmacie Aswar Meknès صيدلية أسوار مكناس - casual pharmacy in Meknes, cuisine: nan, rated 3.5/5",high,pharmacy,Meknes
massage Casablanca,"Rue Hammam El Anf - casual spa in Casablanca, cuisine: nan, rated 3.6/5",high,spa,Casablanca
cafe near me Oujda,"Café Hotel Luxembourg - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
casual barber in Fes,"Salon Fath Bout y fes - casual hairdresser in Fes, cuisine: nan, rated 3.5/5, phone available",high,hairdresser,Fes
where can i find a pharmacy in Pachalik,"Boulangerie Pâtisserie Chhiouate Fes - casual bakery in Fes, cuisine: nan, rated 3.5/5",low,pharmacy,Pachalik
fitness center Casablanca,"Fitness Park - casual gym in Casablanca, cuisine: nan, rated 3.5/5",high,gym,Casablanca
hammam Meknes,"Hammam Aljazeera - casual spa in Meknes, cuisine: nan, rated 3.5/5",high,spa,Meknes
fitness center Fes,"H'Kid supermarket - casual supermarket in Aourir, cuisine: nan, rated 3.5/5",low,gym,Fes
luxury bakery Tetouan,"Tradi Maison Fès - casual bakery in Fes, cuisine: nan, rated 3.5/5",medium,bakery,Tetouan
casual hotel Meknes,"Dar Meknes Tresor - casual hotel in Meknes, cuisine: nan, rated 3.5/5",high,hotel,Meknes
massage Marrakech,"Derb Hammam Riad Laârouss - luxury spa in Marrakech, cuisine: nan, rated 3.6/5",high,spa,Marrakech
where can i find a pharmacy in Aït,"Pharmacie Bab Fès صيدلية باب فاس - casual pharmacy in Fes, cuisine: nan, rated 3.5/5",medium,pharmacy,Aït
good bar Ifrane nightlife,"Bar à Boucles Rabat - casual hairdresser in Rabat, cuisine: nan, rated 3.5/5",low,bar,Ifrane
where can i find a pharmacy in Ouled,"Pharmacie Agadir صيدلية أكادير - casual pharmacy in Ouled, cuisine: nan, rated 3.5/5",high,pharmacy,Ouled
bar in Ifrane,"Riad Mahdi Meknes - luxury hotel in Meknes, cuisine: nan, rated 3.5/5",low,bar,Ifrane
relax wellness Casablanca,"Art palace et spa - luxury spa in Casablanca, cuisine: nan, rated 3.5/5",high,spa,Casablanca
burger place Fes,"Tacos De Fes - casual fast_food in Fes, cuisine: nan, rated 3.5/5",high,fast_food,Fes
pharmacy Marrakech,"Pharmacie Marrakech صيدلية مراكش - casual pharmacy in Marrakech, cuisine: nan, rated 3.5/5",high,pharmacy,Marrakech
cozy cafe in Oujda,"Café Rosa - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
bar in Agadir,"Bar Marrakech - casual bar in Pachalik, cuisine: nan, rated 3.5/5",medium,bar,Agadir
cafe near me Oujda,"Café Jeanys - casual cafe in Oujda, cuisine: nan, rated 3.5/5",high,cafe,Oujda
pharmacy Kénitra,"Pharmacie Bab Fés صيدلية باب فاس - casual pharmacy in Kénitra, cuisine: nan, rated 3.5/5",high,pharmacy,Kénitra
luxury spa Tangier,"Yasser Gym Form - casual gym in Fes, cuisine: nan, rated 3.5/5, phone available",low,spa,Tangier
accommodation Casablanca,"Dar Meknes Tresor - casual hotel in Meknes, cuisine: nan, rated 3.5/5",medium,hotel,Casablanca
gym Fes,"Fitness Park - casual gym in Rabat, cuisine: nan, rated 3.5/5, website available",medium,gym,Fes
pharmacy open now Tangier,"Pharmacie Route de Rabat صيدلية طريق الرباط - casual pharmacy in Tangier, cuisine: nan, rated 3.5/5",high,pharmacy,Tangier
relax wellness Marrakech,"Hammam Nilo - casual spa in Marrakech, cuisine: nan, rated 3.5/5",high,spa,Marrakech
cheap bakery Saâda,"Pharmacie Agadir صيدلية أكادير - casual pharmacy in Ouled, cuisine: nan, rated 3.5/5",low,bakery,Saâda
cafe near me Bab,"Café - casual cafe in Bab, cuisine: nan, rated 3.5/5",high,cafe,Bab
bakery Assilah morning,"Local bakery - casual bakery in Assilah, cuisine: nan, rated 3.5/5",high,bakery,Assilah
fitness center Rabat,"Millenium Fitness & Spa - casual gym in Rabat, cuisine: nan, rated 3.5/5, phone available",high,gym,Rabat
cafe near me Tangier,"Barbershop Mido - casual hairdresser in Kénitra, cuisine: nan, rated 3.5/5",low,cafe,Tangier
where to eat in Souk,"Oasis Café Tetouan Park - casual restaurant in Souk, cuisine: nan, rated 3.5/5",high,restaurant,Souk
i want to eat in Casablanca,"Boulangerie MEKNÈS - casual restaurant in Martil, cuisine: nan, rated 3.5/5",medium,restaurant,Casablanca
cheap hotel Meknes,"Hotel - casual hotel in Chefchaouen, cuisine: nan, rated 3.5/5",medium,hotel,Meknes
coffee shop in Chefchaouen,"Café Hamamat Tetouan - casual cafe in Chefchaouen, cuisine: nan, rated 3.5/5",high,cafe,Chefchaouen
place for coffee in Settat,"Café Qobros - casual cafe in Oujda, cuisine: nan, rated 3.5/5",medium,cafe,Settat
where can i find a pharmacy in Oujda,"Pharmacie Oujda صيدلية وجدة - casual pharmacy in Oujda, cuisine: nan, rated 3.5/5, phone available",high,pharmacy,Oujda
casual bakery Meknes,"Agadir مخبزة أكادير - casual bakery in Meknes, cuisine: nan, rated 3.5/5",high,bakery,Meknes
hammam Fes,"Le Park Fitness & Spa - casual spa in Fes, cuisine: nan, rated 3.5/5",high,spa,Fes
