query,candidate,label,mode
cheap barbershop haircut open today,"Quick Cut - budget barbershop, affordable haircut, 0.4km, open",high,places
crossfit gym intense workout,"CrossFit Zone - casual gym, crossfit, 1.0km, open, 4.4 stars",high,places
hammam spa,"La Trattoria - luxury italian restaurant, 3km",low,places
content creation for gyms,"Blade Blade Casablanca - casual barbershop, no instagram, 3.9 stars",low,leads
spa hammam budget open today,"Zen Retreat - wellness spa, has hammam but mid-range price, check availability",medium,places
looking for: digital marketing for barbershops,"Riad Palace Casablanca - luxury hotel, no instagram, 4.8 stars",low,leads
potential client for hotels services,"City Hotel Casablanca - casual hotel, has instagram, has website, some video, 3.8 stars",medium,leads
gym fitness Casablanca open now,"FitLife Gym - casual gym, fitness, Casablanca, 1.2km, open now, 5 minute walk",high,places
gym fitness Casablanca open now,"FitLife Gym - casual gym, fitness, Casablanca, 1.2km, open now",high,places
i need burger fast food,"Hammam Palace - luxury hammam spa, 4.7 stars",low,places
i need barbershop beard,"Grand Palace Hotel - luxury 5-star hotel, Marrakech",low,places
barbershop beard,"Grand Palace Hotel - luxury 5-star hotel, Marrakech",low,places
french restaurant,"Yoga Studio - yoga gym, luxury, 4.6 stars",low,places
asian noodle restaurant budget,"Noodle House - casual asian restaurant, noodles, budget, 0.7km, open",high,places
french restaurant fine dining,"Le Grill - luxury french restaurant, 4.8 stars, open, city center",high,places
I offer video editing for restaurants Rabat,"Casa Grill Casablanca - casual restaurant, has video content already, website yes, 4.3 stars",medium,leads
potential client for barbershops services,"Sharp Cuts Rabat - casual barbershop, has website but no social media, 3.7 stars",medium,leads
italian restaurant not expensive open good reviews,"Pizza Roma - budget italian restaurant, 0.8km, open, 4.1 stars, highly rated",high,places
italian restaurant fine dining,"FitLife Gym - casual fitness gym, 1.2km",low,places
looking for: reels for cafes no social media,"Man Cave Casablanca - casual barbershop, no website, no instagram, 3.8 stars",low,leads
"I offer video editing and reels for restaurants, target Rabat good potential client","Al Fassia Rabat - luxury moroccan restaurant, Rabat, no video content, instagram yes, 4.7 stars, 245 reviews, clear opportunity",high,leads
I build websites for restaurants looking for opportunities,"Al Fassia Casablanca - luxury restaurant, already has website, instagram yes, 4.8 stars, some potential",medium,leads
luxury spa massage open now,"Burger Palace - budget burger restaurant, 0.5km, open, completely different service",low,places
gym fitness open early,"CrossFit Zone - gym, fitness but opens at 7am, may not be early enough",medium,places
gym yoga open morning,"Sushi Garden - casual sushi restaurant, 0.9km",low,places
moroccan food casual lunch,"Cafe Atlas - casual moroccan restaurant, lunch, 0.6km, open, 4.1 stars, 5 minute walk",high,places
find me crossfit gym intense workout,"Result: CrossFit Zone - casual gym, crossfit, 1.0km, open, 4.4 stars",high,places
I build websites for restaurants that have no online presence,"Bab Souika Rabat - casual moroccan restaurant, no website, no instagram, 3.7 stars, 22 reviews",high,leads
hotel 5 star budget,"City Center Inn - 3-star hotel, decent quality but not 5-star",medium,places
looking for: reels for hotels luxury,"Beans Beyond Rabat - casual cafe, no video, no instagram, 3.8 stars",low,leads
italian restaurant not expensive open,"Pizza Roma - budget italian restaurant, 0.8km, open, 4.1 stars",high,places
barbershop beard open now,"Grand Palace Hotel - luxury 5-star hotel, Marrakech, completely different service",low,places
barber beard grooming luxury good reviews,"Elite Barber - luxury barbershop, beard grooming, 4.6 stars, open, highly rated",high,places
cheap barbershop,"Classic Cuts - casual barbershop, standard prices, 1.5km, open",medium,places
looking for: website creation for gyms,"Hammam Royale Casablanca - luxury spa, hammam, no website, 4.7 stars",low,leads
looking for sushi restaurant near me open now,"Noodle House - asian fusion restaurant, 1.8km, open, 4.0 stars (not sushi but asian)",medium,places
